system_id,lane,family,dimension,condition_exponent,epsilon,decimal_digits,delta_normalized_difference,U_response_normalized_difference,maximum_normalized_difference
G2H_SADDLE_POINT_LIKE_D04_C00_E7eM17,DECIMAL_SOURCE,SADDLE_POINT_LIKE,4,0,7e-17,160,1.033763935918203130715121583837513687402647636514805055830366940274533202575144573485548955992313298907398652087624676030733726682854338795802159391371367595158E-143,4.352414464662544069354791897847241430051217874418145383897167931543730219029950557453687730532279897191946318867889538898202580035651859149890520155300803038535E-151,1.033763935918203130715121583837513687402647636514805055830366940274533202575144573485548955992313298907398652087624676030733726682854338795802159391371367595158E-143
G2H_SADDLE_POINT_LIKE_D04_C00_E7eM17,BINARY64_OPERAND,SADDLE_POINT_LIKE,4,0,7e-17,160,1.075715265417647617958882606099329812471452840420393245671925792993999286631411831891779291570356953101449062450640447665711190644807021209003989199885090230856E-144,5.685945700764120110362145135766814705018113927632517931329899264045818334889916332286481418682897346606533810841641192179565259273057045519019057909492195768040E-161,1.075715265417647617958882606099329812471452840420393245671925792993999286631411831891779291570356953101449062450640447665711190644807021209003989199885090230856E-144
G2H_SADDLE_POINT_LIKE_D04_C12_E7eM15,DECIMAL_SOURCE,SADDLE_POINT_LIKE,4,12,7e-15,160,1.036657369744491892274761256041354528343947880765269997727634104800180665970129723675973251580227046282754883151024029993969658328679803005066346456062489376648E-151,1.606885890855561796407277823229673059352527292176018218163504661574068717133357849413658998825929465334167362940315340721598764422780835794242268439677066190199E-159,1.036657369744491892274761256041354528343947880765269997727634104800180665970129723675973251580227046282754883151024029993969658328679803005066346456062489376648E-151
G2H_SADDLE_POINT_LIKE_D04_C12_E7eM15,BINARY64_OPERAND,SADDLE_POINT_LIKE,4,12,7e-15,160,6.179989709186685436157010481873363086084530074745488399700845613391199331806635689979694175826846512467190557045003654599099543952182670262759236592409396040064E-152,8.179784695175892151714967886011808011453618209897292744315255000922716810978783238105894650490063776832048569336282612350162483689048813138119837297394190622178E-160,6.179989709186685436157010481873363086084530074745488399700845613391199331806635689979694175826846512467190557045003654599099543952182670262759236592409396040064E-152
G2H_SADDLE_POINT_LIKE_D04_C14_E7eM9,DECIMAL_SOURCE,SADDLE_POINT_LIKE,4,14,7e-9,160,4.087472911082101851065527428620665122182235252970840203584389175676848147395644917347104678172452617531712866480588346220721121293900197606533047873105218462391E-154,3.968886755249081021888497280260635825695706791271958417249340481650067202250646221656237818107745155373932208141761602519116036658613265039465621113129578975659E-161,4.087472911082101851065527428620665122182235252970840203584389175676848147395644917347104678172452617531712866480588346220721121293900197606533047873105218462391E-154
G2H_SADDLE_POINT_LIKE_D04_C14_E7eM9,BINARY64_OPERAND,SADDLE_POINT_LIKE,4,14,7e-9,160,2.208513295613580246770667124627935526190219947197799640816522585137185812073517913765835915573005625673912488481566286594750066465108162516441582651591222237116E-153,4.042638609713600653132987225634648383741612463246530194221924776238291960070435498013903480114255071257168689726958400227093729628612068454006366522380850905770E-160,2.208513295613580246770667124627935526190219947197799640816522585137185812073517913765835915573005625673912488481566286594750066465108162516441582651591222237116E-153
G2H_SADDLE_POINT_LIKE_D08_C00_E7eM17,DECIMAL_SOURCE,SADDLE_POINT_LIKE,8,0,7e-17,160,6.265417928559586034027822826123808383369335743608167209381297277171453928184469235754494921154784572267280628641296204726536159382393755736995378110155058501394E-144,1.250669556059224565066701106676621332290488584122532005345203336366984295317443152956489991017198444229230918479580453521976048010911132876882208285595327094980E-151,6.265417928559586034027822826123808383369335743608167209381297277171453928184469235754494921154784572267280628641296204726536159382393755736995378110155058501394E-144
G2H_SADDLE_POINT_LIKE_D08_C00_E7eM17,BINARY64_OPERAND,SADDLE_POINT_LIKE,8,0,7e-17,160,3.132299096900518344226809911428577369794164987232798730093721656114412270349856232611279889632091596649343552898317792480394225815912454719183141314332463797043E-144,2.132002894882310391749418216465182974393401512956533812012491226479558130000790593654357977889135180338756799170840498753901678196845126392684572534777779463205E-160,3.132299096900518344226809911428577369794164987232798730093721656114412270349856232611279889632091596649343552898317792480394225815912454719183141314332463797043E-144
G2H_SADDLE_POINT_LIKE_D08_C12_E7eM15,DECIMAL_SOURCE,SADDLE_POINT_LIKE,8,12,7e-15,160,9.599574586906704735759524276152928569923995169638498264817104135425172065486693829302046082432822081156842953172173556720694023556125067113984300027674998668356E-153,2.141381882064156196722454024551312142063846899041102616807561619564865260062541261783174237311629279296982416429985952716122300738381503794074009054619719401454E-159,9.599574586906704735759524276152928569923995169638498264817104135425172065486693829302046082432822081156842953172173556720694023556125067113984300027674998668356E-153
G2H_SADDLE_POINT_LIKE_D08_C12_E7eM15,BINARY64_OPERAND,SADDLE_POINT_LIKE,8,12,7e-15,160,5.334174181718714075876060818751222686822735527411325917456771477008358142324415286857192812442882733485456536451405405999527993950135364582631861390698667470742E-152,7.305356261172546477033243630789364857211302816456492327459501590582091502895259056253241945830492850846064746344690064255311576013447359637598259747089940110938E-160,5.334174181718714075876060818751222686822735527411325917456771477008358142324415286857192812442882733485456536451405405999527993950135364582631861390698667470742E-152
